# spectral_reference 9.14110005950467e-01
# level elements dofs functional signed_estimate corrected_functional absolute_error corrected_absolute_error
0 930 506 9.14106785225443e-01 2.38979404477967e-06 9.14109175019487e-01 3.22072502412230e-06 8.30930979356381e-07
1 999 551 9.14109418049891e-01 -3.43439131637895e-07 9.14109074610759e-01 5.87900575665934e-07 9.31339707355150e-07
2 1089 601 9.14114296255390e-01 -4.14825943644228e-06 9.14110147995953e-01 4.29030492310467e-06 1.42045486706266e-07
3 1188 653 9.14131336176886e-01 -1.76580328637154e-05 9.14113678144022e-01 2.13302264191473e-05 3.67219355545956e-06
4 1305 715 9.14152328285047e-01 -3.25480894571085e-05 9.14119780195590e-01 4.23223345804580e-05 9.77424512338398e-06
5 1434 784 9.14180328989266e-01 -5.60591520620097e-05 9.14124269837204e-01 7.03230387995024e-05 1.42638867375311e-05
6 1542 845 9.14226756361011e-01 nan nan 1.16750410544153e-04 nan
