# spectral_reference 9.14110005950467e-01
# level elements dofs functional signed_estimate corrected_functional absolute_error corrected_absolute_error
0 930 506 9.14106785225443e-01 2.38979404477967e-06 9.14109175019487e-01 3.22072502412230e-06 8.30930979356381e-07
1 1755 989 9.14115003140896e-01 -6.25835987498494e-06 9.14108744781021e-01 4.99719042923452e-06 1.26116944576538e-06
2 2847 1537 9.14117822364903e-01 -7.64454361578086e-06 9.14110177821287e-01 7.81641443625691e-06 1.71870820464548e-07
3 5190 2816 9.14116215418673e-01 -5.12804913540922e-06 9.14111087369538e-01 6.20946820628632e-06 1.08141907084747e-06
4 8781 4667 9.14114401499505e-01 -3.46808371782675e-06 9.14110933415787e-01 4.39554903830519e-06 9.27465320432752e-07
5 13911 7153 9.14112537871680e-01 -1.97131589509540e-06 9.14110566555785e-01 2.53192121302259e-06 5.60605317945218e-07
6 26070 13539 9.14111764879972e-01 nan nan 1.75892950560197e-06 nan
