# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
0 2.750438546624e-02 1.090433902177e-02 -2.117402483042e-10 2.117402483042e-10 3.066200669516e-05 5.848781076260e-06 5.130672031291e-03 1.793353645188e-10 0
1 1.083771879957e-02 2.757100568843e-02 -1.950276746611e-10 1.950276746611e-10 2.264163658540e-05 5.761373896716e-06 1.128058613481e-02 1.304469340021e-10 0
2 5.170332018737e-02 2.440097017263e-02 -7.858957794315e-10 7.858957794315e-10 5.418919696917e-05 1.396604422347e-05 1.001699118147e-02 7.568087213059e-10 0
3 2.413325206174e-02 5.194489056617e-02 -5.252199882232e-10 5.252199882232e-10 4.308401254237e-05 1.034343508649e-05 2.014037045249e-02 4.456366869977e-10 0
4 4.833218678287e-02 4.877485505037e-02 -9.509088528140e-10 9.509088528140e-10 5.665732283056e-05 1.484664495114e-05 1.906981115320e-02 8.411711559474e-10 0
5 7.419893472113e-02 1.349663115086e-02 -2.389617422540e-09 2.389617422540e-09 1.008637886989e-04 2.066484954831e-05 6.434357477064e-03 2.084335018336e-09 0
6 1.329553326217e-02 7.437388487774e-02 -1.409949196976e-09 1.409949196976e-09 5.576863316085e-05 1.750316166431e-05 2.861904648330e-02 9.761274020118e-10 0
7 6.773997637299e-02 6.873175598808e-02 -3.413726712382e-09 3.413726712382e-09 1.031495483317e-04 2.929541010194e-05 2.690631119478e-02 3.021808320208e-09 0
8 9.827983946909e-02 2.837069741977e-02 -5.281758062857e-09 5.281758062857e-09 1.581775762493e-04 2.857256563345e-05 1.187070564029e-02 4.519539179124e-09 0
9 9.519201452545e-02 5.923193737925e-02 -8.235461516405e-09 8.235461516405e-09 1.872112941405e-04 3.946607283541e-05 2.367737194627e-02 7.388494570162e-09 0
10 2.772207528221e-02 9.871697603594e-02 -2.774414711591e-09 2.774414711591e-09 9.605287240787e-05 2.436965933413e-05 3.774481722013e-02 2.340775778645e-09 0
11 5.796758367190e-02 9.624488266209e-02 -4.742752676541e-09 4.742752676541e-09 1.349673574066e-04 3.204467739178e-05 3.711301393425e-02 4.324985426515e-09 0
12 1.240809047480e-01 1.487406626891e-02 -9.574052100893e-09 9.574052100893e-09 2.178149371064e-04 3.766763441962e-05 7.301842949020e-03 8.204573422059e-09 0
13 1.442654202004e-02 1.243430911582e-01 -3.275825163180e-09 3.275825163180e-09 7.739522546235e-05 3.004299806759e-05 4.710798559787e-02 2.325184609006e-09 0
14 1.198254371817e-01 7.573752689770e-02 -1.273690415599e-08 1.273690415599e-08 2.476295816282e-04 4.348473652523e-05 3.041839129183e-02 1.076810711296e-08 0
15 7.328745988973e-02 1.213155518588e-01 -7.437672082273e-09 7.437672082273e-09 1.688999039265e-04 4.210505613160e-05 4.672183698103e-02 7.111539935446e-09 0
16 1.485254013916e-01 2.980388534587e-02 -1.582221126874e-08 1.582221126874e-08 2.990769084505e-04 4.406534351622e-05 1.293181336272e-02 1.317892670864e-08 0
17 1.473577587689e-01 5.980610601518e-02 -1.844964170476e-08 1.844964170476e-08 3.224514215052e-04 4.900923955945e-05 2.473896245152e-02 1.580309896283e-08 0
