# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
150 2.006342465196e-01 1.810386958719e-01 -1.890819030347e-09 1.890819030347e-09 1.402657778850e-04 1.419559296650e-05 7.513974571036e-02 1.991155889985e-09 0
151 2.059240781029e-01 2.014298633528e-01 -2.518948900324e-09 2.518948900324e-09 1.655836433208e-04 1.469173059687e-05 8.327582466910e-02 2.432710278918e-09 0
152 1.967520141934e-01 1.920061933411e-01 -2.123001559977e-09 2.123001559977e-09 1.526194803443e-04 1.424380622883e-05 7.894350175544e-02 2.173882304769e-09 0
153 2.728567365221e-01 5.873807593171e-02 -6.048442704315e-09 6.048442704315e-09 2.169742769061e-04 2.293283589196e-05 2.822535736572e-02 4.975835485065e-09 1
154 2.842776164061e-01 8.066781628041e-02 -7.333651362166e-09 7.333651362166e-09 2.457287275122e-04 2.457961490896e-05 3.926496593322e-02 6.039917494318e-09 1
155 2.597376533098e-01 8.078837431505e-02 -5.399366505440e-09 5.399366505440e-09 2.073611360203e-04 2.152991138392e-05 3.773808636777e-02 4.464466882986e-09 1
156 2.722906687460e-01 7.339808884239e-02 -6.290325870901e-09 6.290325870901e-09 2.230066627679e-04 2.345000032531e-05 3.507513810249e-02 5.229506314454e-09 1
157 2.704076360271e-01 1.167644175087e-01 -6.537668590144e-09 6.537668590144e-09 2.376936513630e-04 2.294919330893e-05 5.481180655014e-02 5.454877553435e-09 1
158 2.591253781861e-01 9.529495970931e-02 -5.361976052771e-09 5.361976052771e-09 2.084328915134e-04 2.149435633238e-05 4.426617059732e-02 4.480130841579e-09 1
159 2.836653412823e-01 9.517440167467e-02 -7.190013879162e-09 7.190013879162e-09 2.431014430590e-04 2.462794186818e-05 4.604889156692e-02 5.987088207728e-09 1
