 CIRCULAR INITIAL SHAPE
      66.       66.

 0.0000000000 0.0000000000
 0.0005839000 0.0241569671
 0.0023342000 0.0482571395
 0.0052468000 0.0722445229
 0.0093149000 0.0960631700
 0.0145291000 0.1196578675
 0.0208771000 0.1429728880
 0.0283441000 0.1659539454
 0.0369127000 0.1885474810
 0.0465628000 0.2107005118
 0.0572720000 0.2323616105
 0.0690152000 0.2534799838
 0.0817649000 0.2740062064
 0.0954915000 0.2938926223
 0.1101628000 0.3130925702
 0.1257446000 0.3315612999
 0.1422005000 0.3492556625
 0.1594921000 0.3661343606
 0.1775789000 0.3821578656
 0.1964187000 0.3972888046
 0.2159676000 0.4114919146
 0.2361799000 0.4247339813
 0.2570083000 0.4369840200
 0.2784042000 0.4482134552
 0.3003177000 0.4583960941
 0.3226976000 0.4675081378
 0.3454915000 0.4755282572
 0.3686463000 0.4824377737
 0.3921079000 0.4882205391
 0.4158215000 0.4928630440
 0.4397317000 0.4963544419
 0.4637826000 0.4986865749
 0.4879181000 0.4998540064
 0.5120819000 0.4998540064
 0.5362174000 0.4986865749
 0.5602683000 0.4963544419
 0.5841786000 0.4928630269
 0.6078921000 0.4882205391
 0.6313537000 0.4824377737
 0.6545085000 0.4755282572
 0.6773025000 0.4675080999
 0.6996823000 0.4583960941
 0.7215958000 0.4482134552
 0.7429917000 0.4369840200
 0.7638202000 0.4247339191
 0.7840324000 0.4114919146
 0.8035813000 0.3972888046
 0.8224211000 0.3821578656
 0.8405079000 0.3661343606
 0.8577995000 0.3492556625
 0.8742554000 0.3315612999
 0.8898372000 0.3130925702
 0.9045085000 0.2938926223
 0.9182351000 0.2740062064
 0.9309849000 0.2534798137
 0.9427280000 0.2323616105
 0.9534372000 0.2107005118
 0.9630873000 0.1885474810
 0.9716559000 0.1659539454
 0.9791229000 0.1429728880
 0.9854709000 0.1196578675
 0.9906850000 0.0960636808
 0.9947532000 0.0722445229
 0.9976658000 0.0482571395
 0.9994161000 0.0241569671
 1.0000000000 0.0000000000

 0.0000000000 -0.0000000000
 0.0005839000 -0.0241569671
 0.0023342000 -0.0482571395
 0.0052468000 -0.0722445229
 0.0093149000 -0.0960631700
 0.0145291000 -0.1196578675
 0.0208771000 -0.1429728880
 0.0283441000 -0.1659539454
 0.0369127000 -0.1885474810
 0.0465628000 -0.2107005118
 0.0572720000 -0.2323616105
 0.0690152000 -0.2534799838
 0.0817649000 -0.2740062064
 0.0954915000 -0.2938926223
 0.1101628000 -0.3130925702
 0.1257446000 -0.3315612999
 0.1422005000 -0.3492556625
 0.1594921000 -0.3661343606
 0.1775789000 -0.3821578656
 0.1964187000 -0.3972888046
 0.2159676000 -0.4114919146
 0.2361799000 -0.4247339813
 0.2570083000 -0.4369840200
 0.2784042000 -0.4482134552
 0.3003177000 -0.4583960941
 0.3226976000 -0.4675081378
 0.3454915000 -0.4755282572
 0.3686463000 -0.4824377737
 0.3921079000 -0.4882205391
 0.4158215000 -0.4928630440
 0.4397317000 -0.4963544419
 0.4637826000 -0.4986865749
 0.4879181000 -0.4998540064
 0.5120819000 -0.4998540064
 0.5362174000 -0.4986865749
 0.5602683000 -0.4963544419
 0.5841786000 -0.4928630269
 0.6078921000 -0.4882205391
 0.6313537000 -0.4824377737
 0.6545085000 -0.4755282572
 0.6773025000 -0.4675080999
 0.6996823000 -0.4583960941
 0.7215958000 -0.4482134552
 0.7429917000 -0.4369840200
 0.7638202000 -0.4247339191
 0.7840324000 -0.4114919146
 0.8035813000 -0.3972888046
 0.8224211000 -0.3821578656
 0.8405079000 -0.3661343606
 0.8577995000 -0.3492556625
 0.8742554000 -0.3315612999
 0.8898372000 -0.3130925702
 0.9045085000 -0.2938926223
 0.9182351000 -0.2740062064
 0.9309849000 -0.2534798137
 0.9427280000 -0.2323616105
 0.9534372000 -0.2107005118
 0.9630873000 -0.1885474810
 0.9716559000 -0.1659539454
 0.9791229000 -0.1429728880
 0.9854709000 -0.1196578675
 0.9906850000 -0.0960636808
 0.9947532000 -0.0722445229
 0.9976658000 -0.0482571395
 0.9994161000 -0.0241569671
 1.0000000000 -0.0000000000
