# reference J_5 9.14110002727527e-01
# level dofs raw_absolute_error corrected_absolute_error
0 506 3.217502083985e-06 8.277080399965e-07
1 545 1.698642877912e-06 7.526352119314e-07
2 586 1.193507204067e-06 6.624069240901e-07
3 629 8.652762218064e-06 1.922899625084e-06
4 667 6.945545242054e-06 2.109592491029e-06
5 708 1.113532035202e-05 2.193677141049e-06
6 761 2.802653327205e-05 nan
