# spectral_reference 9.14110005950467e-01
# level elements dofs functional signed_estimate corrected_functional absolute_error corrected_absolute_error
0 930 506 9.14106785225443e-01 2.38979404477967e-06 9.14109175019487e-01 3.22072502412230e-06 8.30930979356381e-07
1 996 545 9.14108304084649e-01 9.46007666176035e-07 9.14109250092315e-01 1.70186581782694e-06 7.55858151624267e-07
2 1071 586 9.14111196234731e-01 -5.31100279804611e-07 9.14110665134451e-01 1.19028426426304e-06 6.59183984508260e-07
3 1149 629 9.14118655489745e-01 -6.72986259326435e-06 9.14111925627152e-01 8.64953927826040e-06 1.91967668494719e-06
4 1215 667 9.14116948272769e-01 -4.83595275101622e-06 9.14112112320018e-01 6.94232230236125e-06 2.10636955133570e-06
5 1293 708 9.14121138047879e-01 -8.94164321107304e-06 9.14112196404668e-01 1.11320974121032e-05 2.19045420102315e-06
6 1392 761 9.14138029260799e-01 nan nan 2.80233103325811e-05 nan
